service_id,date,exception_type
500040958,20260106,1
500041036,20260106,1
500041116,20260106,1
500041154,20260106,1
500041234,20260106,1
500041312,20260106,1
500041352,20260106,1
500041430,20260106,1
500041508,20260106,1
500041546,20260106,1
500041626,20260106,1
500041704,20260106,1
500041744,20260106,1
500041822,20260106,1
500041902,20260106,1
500041940,20260106,1
500042020,20260106,1
500042058,20260106,1
500042138,20260106,1
500042215,20260106,1
501010745,20260106,2
501010820,20260106,2
501010905,20260106,2
501010940,20260106,2
501011021,20260106,2
501011056,20260106,2
501011137,20260106,2
501011212,20260106,2
501011253,20260106,2
501011328,20260106,2
501011409,20260106,2
501011444,20260106,2
501011525,20260106,2
501011600,20260106,2
501011641,20260106,2
501011716,20260106,2
501011757,20260106,2
501011832,20260106,2
501011913,20260106,2
501011948,20260106,2
501012027,20260106,2
501012100,20260106,2
501012140,20260106,2
501012210,20260106,2
501012240,20260106,2
501041612,20260106,1
501041652,20260106,1
501041730,20260106,1
501041810,20260106,1
501041848,20260106,1
501041928,20260106,1
501042006,20260106,1
501042046,20260106,1
501042124,20260106,1
501042202,20260106,1
501042235,20260106,1
501042310,20260106,1
502010655,20260106,2
502010725,20260106,2
502010805,20260106,2
502010840,20260106,2
502010924,20260106,2
502010959,20260106,2
502011040,20260106,2
502011115,20260106,2
502011156,20260106,2
502011231,20260106,2
502011312,20260106,2
502011347,20260106,2
502011428,20260106,2
502011503,20260106,2
502011544,20260106,2
502011619,20260106,2
502011700,20260106,2
502011735,20260106,2
502011816,20260106,2
502011851,20260106,2
502011932,20260106,2
502012007,20260106,2
502012048,20260106,2
502012121,20260106,2
502012155,20260106,2
502040805,20260106,1
502040839,20260106,1
502040919,20260106,1
502040957,20260106,1
502041037,20260106,1
502041115,20260106,1
502041155,20260106,1
502041233,20260106,1
502041313,20260106,1
502041351,20260106,1
502041431,20260106,1
502041509,20260106,1
502041553,20260106,1
502041636,20260106,1
502041718,20260106,1
502041756,20260106,1
502041836,20260106,1
502041914,20260106,1
502041954,20260106,1
502042032,20260106,1
502042112,20260106,1
502042150,20260106,1
502042225,20260106,1
502042300,20260106,1
503010745,20260106,2
503010825,20260106,2
503010900,20260106,2
503010943,20260106,2
503011018,20260106,2
503011059,20260106,2
503011134,20260106,2
503011215,20260106,2
503011250,20260106,2
503011331,20260106,2
503011406,20260106,2
503011447,20260106,2
503011522,20260106,2
503011603,20260106,2
503011638,20260106,2
503011719,20260106,2
503011754,20260106,2
503011835,20260106,2
503011910,20260106,2
503011951,20260106,2
503012026,20260106,2
503012105,20260106,2
503012140,20260106,2
503012210,20260106,2
503012240,20260106,2
600010700,20260106,2
600010735,20260106,2
600010815,20260106,2
600010852,20260106,2
600010934,20260106,2
600011016,20260106,2
600011058,20260106,2
600011140,20260106,2
600011222,20260106,2
600011304,20260106,2
600011346,20260106,2
600011428,20260106,2
600011510,20260106,2
600011552,20260106,2
600011634,20260106,2
600011716,20260106,2
600011758,20260106,2
600011840,20260106,2
600011922,20260106,2
600012004,20260106,2
600012046,20260106,2
600012128,20260106,2
600012205,20260106,2
600040755,20260106,1
600040817,20260106,1
600040856,20260106,1
600040929,20260106,1
600041008,20260106,1
600041041,20260106,1
600041120,20260106,1
600041153,20260106,1
600041232,20260106,1
600041305,20260106,1
600041344,20260106,1
600041417,20260106,1
600041456,20260106,1
600041529,20260106,1
600041610,20260106,1
600041647,20260106,1
600041730,20260106,1
600041807,20260106,1
600041850,20260106,1
600041927,20260106,1
600042010,20260106,1
600042047,20260106,1
600042130,20260106,1
600042207,20260106,1
600042245,20260106,1
601010745,20260106,2
601010825,20260106,2
601010904,20260106,2
601010946,20260106,2
601011028,20260106,2
601011110,20260106,2
601011152,20260106,2
601011234,20260106,2
601011316,20260106,2
601011358,20260106,2
601011440,20260106,2
601011522,20260106,2
601011604,20260106,2
601011646,20260106,2
601011728,20260106,2
601011810,20260106,2
601011852,20260106,2
601011934,20260106,2
601012016,20260106,2
601012058,20260106,2
601012140,20260106,2
601012215,20260106,2
601012245,20260106,2
601040813,20260106,1
601040841,20260106,1
601040920,20260106,1
601040953,20260106,1
601041032,20260106,1
601041105,20260106,1
601041144,20260106,1
601041217,20260106,1
601041256,20260106,1
601041329,20260106,1
601041408,20260106,1
601041441,20260106,1
601041520,20260106,1
601041549,20260106,1
601041630,20260106,1
601041707,20260106,1
601041750,20260106,1
601041827,20260106,1
601041910,20260106,1
601041947,20260106,1
601042030,20260106,1
601042107,20260106,1
601042150,20260106,1
601042227,20260106,1
601042305,20260106,1
602010720,20260106,2
602010750,20260106,2
602010835,20260106,2
602010916,20260106,2
602010958,20260106,2
602011040,20260106,2
602011122,20260106,2
602011204,20260106,2
602011246,20260106,2
602011328,20260106,2
602011410,20260106,2
602011452,20260106,2
602011534,20260106,2
602011616,20260106,2
602011658,20260106,2
602011740,20260106,2
602011822,20260106,2
602011904,20260106,2
602011946,20260106,2
602012028,20260106,2
602012110,20260106,2
602012150,20260106,2
602012225,20260106,2
602040740,20260106,1
602040802,20260106,1
602040832,20260106,1
