service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
201011903,1,1,1,1,1,0,0,20260825,20261231
201011930,1,1,1,1,1,0,0,20260825,20261231
201012003,1,1,1,1,1,0,0,20260825,20261231
201012028,1,1,1,1,1,0,0,20260825,20261231
201012052,1,1,1,1,1,0,0,20260825,20261231
201012117,1,1,1,1,1,0,0,20260825,20261231
201012140,1,1,1,1,1,0,0,20260825,20261231
201012203,1,1,1,1,1,0,0,20260825,20261231
201012229,1,1,1,1,1,0,0,20260825,20261231
201012250,1,1,1,1,1,0,0,20260825,20261231
201020802,0,0,0,0,0,1,0,20260825,20261231
201020826,0,0,0,0,0,1,0,20260825,20261231
201020854,0,0,0,0,0,1,0,20260825,20261231
201020918,0,0,0,0,0,1,0,20260825,20261231
201020946,0,0,0,0,0,1,0,20260825,20261231
201021010,0,0,0,0,0,1,0,20260825,20261231
201021038,0,0,0,0,0,1,0,20260825,20261231
201021102,0,0,0,0,0,1,0,20260825,20261231
201021130,0,0,0,0,0,1,0,20260825,20261231
201021154,0,0,0,0,0,1,0,20260825,20261231
201021222,0,0,0,0,0,1,0,20260825,20261231
201021246,0,0,0,0,0,1,0,20260825,20261231
201021314,0,0,0,0,0,1,0,20260825,20261231
201021338,0,0,0,0,0,1,0,20260825,20261231
201021406,0,0,0,0,0,1,0,20260825,20261231
201021430,0,0,0,0,0,1,0,20260825,20261231
201021458,0,0,0,0,0,1,0,20260825,20261231
201021522,0,0,0,0,0,1,0,20260825,20261231
201021550,0,0,0,0,0,1,0,20260825,20261231
201021614,0,0,0,0,0,1,0,20260825,20261231
201021642,0,0,0,0,0,1,0,20260825,20261231
201021706,0,0,0,0,0,1,0,20260825,20261231
201021734,0,0,0,0,0,1,0,20260825,20261231
201021758,0,0,0,0,0,1,0,20260825,20261231
201021826,0,0,0,0,0,1,0,20260825,20261231
201021850,0,0,0,0,0,1,0,20260825,20261231
201021918,0,0,0,0,0,1,0,20260825,20261231
201021940,0,0,0,0,0,1,0,20260825,20261231
201022006,0,0,0,0,0,1,0,20260825,20261231
201022028,0,0,0,0,0,1,0,20260825,20261231
201022054,0,0,0,0,0,1,0,20260825,20261231
201022116,0,0,0,0,0,1,0,20260825,20261231
